name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
Mi Viejo,5jmuiCbNU1SEvFKqMadOZR,54.0,Vicente Fernández,0.539,0.423,-7.646,0,0.0277,0.684,0.0,0.32299999999999995,0.408,https://p.scdn.co/mp3-preview/3aec37efb4165866a0e50b8e94ecafeb7043c9fa?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2735ecdb62da0b88c3e0091cae7
Lá vem o sol,74o1pFywinH2eEPxbbaLqc,54.0,Lulu Santos,0.583,0.46299999999999997,-11.85,1,0.0287,0.9390000000000001,7.08e-05,0.0641,0.413,https://p.scdn.co/mp3-preview/e81e9c1eb842c4ff9ae2c147a13496a45bd34f65?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2733401e2750b2a6eecb008f42a
Griechischer Wein,2f8Hc0w7BpDtzwoa6BHKec,54.0,Udo Jürgens,0.406,0.408,-13.873,1,0.0387,0.743,0.0,0.261,0.58,https://p.scdn.co/mp3-preview/3d9b8567df14ca09d8e15de4fb423e1baf423f3a?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27386f8b7ae69137fea4479cbf3
Back to You,6iB4FVNBjXR9M5nhvSlZde,54.0,Twin Forks,0.546,0.8420000000000001,-5.59,1,0.0657,0.00447,0.0,0.0755,0.34,https://p.scdn.co/mp3-preview/ca41c1c279d9d340911443dfa6878bd6fab50840?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273bd44a7513c5bf1f05130d302
Oh Yeah - Remastered 2005,1iOHLlEsMbgJfYBFWy4TjG,54.0,Yello,0.748,0.907,-7.843999999999999,1,0.0611,0.0038,0.812,0.040999999999999995,0.769,,https://i.scdn.co/image/ab67616d0000b273ba59c61d3c5db806f6073719
Turn up the Speakers - Radio Edit,7102UhVPxGoYGNE2w3duPh,54.0,Afrojack,0.6940000000000001,0.9,-5.245,1,0.0456,0.0989,0.946,0.473,0.293,https://p.scdn.co/mp3-preview/99550b385dfac89ca45d1d61693bd9af359a08b7?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273b8bac53cde47786e515314c6
Victim of Love,2qcPsPqgTpl1KYgVptu3Oc,54.0,Charles Bradley,0.479,0.41700000000000004,-7.263,0,0.0325,0.726,0.0,0.0831,0.387,https://p.scdn.co/mp3-preview/ede61daef65506b56dee9871b94d6368c112b478?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27300da03216eb2a67144e8837c
Lonely,6ls5ulRydoPE7oWGPGBqFA,54.0,Akon,0.633,0.529,-7.85,0,0.0339,0.307,0.0,0.342,0.578,,https://i.scdn.co/image/ab67616d0000b27375efdb59b1ab02452a7d59e0
Rest Of My Life,6SLUwdeias7fn6qVq6LcgP,54.0,Ludacris,0.531,0.88,-3.875,1,0.0406,0.0123,3.29e-06,0.17600000000000002,0.266,,https://i.scdn.co/image/ab67616d0000b27328fa328307b7eca59d52d357
Good Thing,6zHecELSAUYPCmYY8qHuOy,54.0,Sam Smith,0.615,0.311,-10.708,0,0.0529,0.634,0.00267,0.336,0.27,,https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae
Los Angeles Is Burning,0biGKHOtNVGM14sRSztyKq,54.0,Bad Religion,0.41700000000000004,0.963,-3.302,1,0.0403,0.000305,0.000131,0.14800000000000002,0.644,https://p.scdn.co/mp3-preview/e5e33e570263baed8d18666b287600bab0752613?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e3da54da8531e018efedb12e
Come Back and Stay - 2008 Re-Master Version,1r3YUTAwY0Y7tyV9Xcgps8,54.0,Paul Young,0.624,0.8029999999999999,-7.985,0,0.0729,0.11599999999999999,1.15e-05,0.293,0.8,https://p.scdn.co/mp3-preview/774778c7671c7cea9ad40ec2e2aabe91d6502e23?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273c79d8dc24ad4cecc246eedd3
Exitlude,4fCs9oQGvZGbnYXBkL4hYh,54.0,The Killers,0.386,0.34700000000000003,-11.73,1,0.0389,0.297,0.00045700000000000005,0.124,0.223,,https://i.scdn.co/image/ab67616d0000b2734f87f14089217e3f70a5f39e
