,name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
20064,She's A Beauty - Remastered 1991,7HF88mJXq8DpotZohoW2mo,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20065,Brown Eyed Girl,2ICMnjBhI7xQhI6dV3Z78P,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20066,Équinoxe,37WtwAa4PzRprHMp7Esdds,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20067,"El Chakra Del Corazón, Anahata - Om En La Clave De F",0ODALQinASCloaogj0xgAF,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20068,Booyah,30BBwDTjwHQf1ixFGaE2o2,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20069,At The Hop,4LcrHUkRmXG3c0YD5VYutn,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20070,A Walk in the Skies,4VJge9qYxmhYEod0CWoEZ7,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20071,Don’t Say Goodbye,34jDGAa38HErcEfObppqmt,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20072,"Mozart / Arr Grieg: Piano Sonata No. 16 in C Major, K. 545: I. Allegro (Arr. Grieg for 2 Pianos) [Live]",6LKsT6X9BxMK8ePCDNRLal,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20073,KEINE LUST,29YDZUNKvBI2I64TvLj1Wt,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20074,Don't Lean on Me,1X6vl2Wy5yY708C8EfRUCS,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20075,Your Silent Face - 2015 Remaster,0eKRwDBVWxCXWpLYFYrbd1,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20076,Acid Rain,7yOHHVY8AhsNt297yEcHVE,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20077,Still Here,7jheemFmNF2vXAfhwwKCrw,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20078,Loco,1tQYNmqyChbjXyZqOkto7s,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20079,Spend Some Time,1mHRciKUBSGQml3mQFGMsf,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20080,Homecoming,4wH29TM74O3788Kn1KzWuY,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20081,Heyyeyaaeyaaaeyaeyaa (Fabulous Secret Powers),0trTpNYmHAK3EihaZBd2h6,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20082,Bones Exposed,0TbbFwClRBAyURSBynegzo,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20083,It's Goin' Down,4QYvuCdl2N7cXIxZeN1FHL,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20084,レイン,7wiweCvxdbBw2mTP3AaY9q,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20085,Amie,1mqydO6xMtyTPa8yo1SdVr,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20086,Conversation With The Devil,2nww8CKg1BqCh6Eyr6sr6m,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20087,Lenny,0h4jHdNzUrV9eGR2PT5R8c,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20088,Let Me In - From The Fault in Our Stars Soundtrack,4WUduEPZZG6wiE9B5IklnY,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20089,C'mon C'mon,0YPDp1KIxVLTdh3vnvk6wd,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20090,Send Me On My Way,4yshHBPp0MoVynV1sMCKV3,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20091,The Game (Triple H),2zSpaFB7e0Yo1QKsDQ22Ol,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20092,The Set Up,5XLjIFOigk5R4oc9UUuG8M,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20093,Outro: Luv in Skool,5kD6DnMehM1XD8dvS83Xzu,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20094,What Would You Do,2WwzQJt4hG7YC6x16ZTYFM,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20095,Stronger Than I Was,6MtI49ggHHumUTONlvMQlq,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20096,Rapture,6F2vo4sxRNQ58VYe3pdiaL,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20097,Locked,1vBxzMZGCneeEemHVMw6Q3,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20098,Walls Come Tumbling Down,00cn1ynXQhURwsgv69fN0b,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20099,Dark Blue - 2015 Remastered,3tZwKujD64Ad6vlDVxZOrg,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20100,Medicina de Amor,2nTgr8A2F6dpxsuGsf6KSk,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20101,Un Mundo Raro,2ybospMFQiiopuI9P8WjfH,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20102,Jealou$y (feat. Casey Veggies & Kossisko),7ofaLUVPCwrPrKY6Rk6c0b,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20103,Fiesta En La Sierra,3Fqo0aANNOCAZIzLNUkVQJ,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20104,Alive And Kicking,3yD272quA0vqP500G8qEX5,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20105,The Captain of Her Heart,5EwltLwI9hRLyiTUAjMsQ6,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20106,"Hella Hoes (feat. A$AP Rocky, A$AP Ferg, A$AP Nast & A$AP Twelvyy)",7MDKvOzNgAJ3KMCtaP2UOa,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20107,Ghost Assassin - Original Mix,3VPBqHUd17ZvEgabW9ZOUU,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20108,R U Crazy - Radio Edit,4iBLjdxbL9VKzNEfPeZ6zR,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20109,El Satánico Dr. Cadillac (Versión '93) - Remasterizado 2008,38BgSgrjtPKDkFxykexEFu,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20110,I'LL BE GONE,3cQGb2POE359G9WH81bF60,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20111,Feel The Volume,03IxJiB8ZOH9hEQZF5mCNY,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20112,Razorblade,4UF1eupXP9Zz5GpYepyOxI,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20113,Ni Que Estuvieras Tan Buena,3ElOgE8UIHSCqQu1L4FBco,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20114,King Without a Crown,3NkIfsiFHnljGrlXSD2AJ3,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20115,Du riechst so gut,73se54LukI1xEPE8XKsrWf,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20116,Luz De Luna,5MALTxghQ66hGWdl1lsGmB,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20117,Soy un Desmadre,7osWsJWrvkAjuJX6ca3PX8,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20118,Not Done Yet,3KDrOuo1mXgkuZVQnpFAD7,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20119,Violin Concerto BWV 1042 in E Major: Violin Concerto BWV 1042 in E Major: I. Allegro,3nxaPqAOxUxkLhIhbvmv4t,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20120,Paloma Querida,7nQWIZIZ4W7ZKFbrF5R97L,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20121,Blood of Heroes,4qgDlkfqsbZ0q5tOSp0nqE,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20122,Life is a Highway,5gB2IrxOCX2j9bMnHKP38i,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20123,Carousel,3gVXAW2pduBl7tzjAGUVRb,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20124,Hello,4qYlBtzkmby4r1N7etPnUv,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20125,Smooth Sailing,1Dhi8OBMSyukjUQ93uBfNz,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20126,Un Millón De Primaveras,0qqLzlmKDj55Zmck2rdT33,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20127,It's Not Over,0wIhWLNLIOmzQ89B3rtTd3,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20128,Clave Privada,4m5hcZXjgM3iL1tWNCWaer,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20129,Quién,6mdvilly3zBePvaMy5PGmB,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20130,Ain't No Mountain High Enough - Mono,76resiPGue5Cum9rLUKCj0,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20131,I Don't Dance,0d9iRVkb4ugBrAxR83PplQ,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20132,Pennies From Heaven (with Michael Bublé),79tHp1cHwQG5f0AD6rP38l,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20133,$TING,48YPDmhRIQRiusm5uCz5gX,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20134,Tonight I Celebrate My Love,622nEHkm52E6ijVShcea9f,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20135,Treat Her Better,3hPHUpKVB4xo9efj2y29W9,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20136,The Rhythm of the Night,5IPJsGFKtxKDPCkT8lhEjN,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20137,Who Can I Run To,0wdaPticLmmqJdhgLDJ9zI,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20138,Cuando Sale la Luna,2vDaSr8NzCzG2rFtqup2Kq,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20139,A Tale That Wasn't Right,6Fd53Af2royyl5btFfgzlB,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20140,Set You Free,64juMW0Kj0MLIn5pbuNvKD,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
