name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
Shape of You,7qiZfU4dY1lWllzX7mPBI3,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Blueberry Faygo,22LAwLoDA5b4AaGSkg6bKW,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Hello (feat. A Boogie Wit da Hoodie),2r6OAV3WsYtXuXjvJ1lIDi,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
feel something,7JDWhC422Gtk1Bq0mL3OTC,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
when the party's over,43zdsphuZLzwA9k4DJhU0I,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Señorita,0TK2YIli7K1leLovkQiNik,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
All of Me,3U4isOIWM3VvDubwSI3y7a,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
my ex's best friend (with blackbear),7kDUspsoYfLkWnZR7qwHZl,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
hot girl bummer,2mt1IqcFyY1zmYZT8Q3xw9,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Tap In,4Hpib09wXgD84w4uwTPnYD,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Lose Control,7CHi4DtfK4heMlQaudCuHK,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Hate The Other Side (with Marshmello & The Kid Laroi),0ada5XsQGLPUVbmTCkAP49,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Runnin,5SWnsxjhdcEDc7LJjq9UHk,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Clean White Noise - Loopable with no fade,2bRKxuH1o7pTmb1y4GfdEc,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Mr. Right Now (feat. Drake),4Q34FP1AT7GEl9oLgNtiWj,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Star Shopping,30bqVoKjX479ab90a8Pafp,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
21,3JKgcAa7r07ocVWcV8bS0H,85.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Jangueo,1bRpSCFv6P2OUhciByeRYR,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Pa' Olvidarme De Ella,1cVlW9WQiGlFdWUXFdFZGh,84.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
