name,spotify_id,popularity
when the party's over,43zdsphuZLzwA9k4DJhU0I,85.0
Clean White Noise - Loopable with no fade,2bRKxuH1o7pTmb1y4GfdEc,85.0
Lose Control,7CHi4DtfK4heMlQaudCuHK,85.0
DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,85.0
Mr. Right Now (feat. Drake),4Q34FP1AT7GEl9oLgNtiWj,85.0
Star Shopping,30bqVoKjX479ab90a8Pafp,85.0
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,85.0
21,3JKgcAa7r07ocVWcV8bS0H,85.0
Star Shopping,30bqVoKjX479ab90a8Pafp,85.0
Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,84.0
Jangueo,1bRpSCFv6P2OUhciByeRYR,84.0
Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,84.0
Pa' Olvidarme De Ella,1cVlW9WQiGlFdWUXFdFZGh,84.0
Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,84.0
Closer,7BKLCZ1jbUBVqRi2FVlTVw,84.0
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,84.0
Mariposa,4ja2gzrNh9VNigzoXfmbwD,84.0
Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,84.0
24 (feat. Lil Baby),7v96VvFLS0wSYT8kewNLRy,84.0
No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,84.0
July,6J2LdBN97cDWn0MLxYh9HB,84.0
Thunder,1zB4vmk8tFRmM9UULNzbLB,84.0
Bruises,4Of7rzpRpV1mWRbhp5rAqG,84.0
It's You,5DqdesEfbRyOlSS3Tf6c29,84.0
OUT WEST (feat. Young Thug),6gi6y1xwmVszDWkUqab1qw,84.0
Maniac,6KfoDhO4XUWSbnyKjNp9c4,84.0
Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,84.0
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,84.0
Pa' Olvidarme De Ella,1cVlW9WQiGlFdWUXFdFZGh,84.0
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,84.0
Mariposa,4ja2gzrNh9VNigzoXfmbwD,84.0
Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,84.0
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,84.0
It's You,5DqdesEfbRyOlSS3Tf6c29,84.0
Conversations,4K06PO78fW4mnBVenxGNob,84.0
Jangueo,1bRpSCFv6P2OUhciByeRYR,84.0
No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,84.0
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,84.0
